iati_identifier,lat,long,code,level,vocabulary,name
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2016/91007,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2016/91027,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92007,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92035,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92025,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92006,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92012,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92053,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92057,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92059,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92051,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92020,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92032,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92056,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92014,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92018,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92043,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92026,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92031,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92001,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92033,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92000,21.00789,-10.940835,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92000,12.238333,-1.561593,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92000,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92000,9.081999,8.675277,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92000,17.607789,8.081666,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92000,7.369722,12.354722,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92000,17.570692,-3.996166,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92000,6.611111,20.939444,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,-18.665695,35.529562,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,-6.314993,143.95555,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,12.879721,121.774017,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,8.460555,-11.779889,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,12.862807,30.217636,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,9.145,40.489673,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,9.945587,-9.696645,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,-.789275,113.921327,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,-.023559,37.906193,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,40.339852,127.510093,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,-29.609988,28.233608,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,26.3351,17.228331,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,-13.254308,34.301525,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,23.684994,90.356331,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,-22.328474,24.684866,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,12.238333,-1.561593,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,-35.675147,-71.542969,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,-11.875001,43.872219,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,-30.559482,22.937506,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,6.428055,-9.429499,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,-18.766947,46.869107,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,1.373333,32.290275,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,-19.015438,29.154857,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,5.152149,46.199616,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,26.820553,30.802498,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,28.033886,1.659626,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,9.081999,8.675277,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,28.394857,84.124008,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,20.593684,78.96288,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,17.607789,8.081666,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,21.913965,95.956223,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,-4.038333,21.758664,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,4.859363,31.571251,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,-8.874217,125.727539,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92011,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92008,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92005,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92106,12.238333,-1.561593,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92106,7.369722,12.354722,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92106,17.570692,-3.996166,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92106,17.607789,8.081666,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92106,9.081999,8.675277,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92106,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92120,12.238333,-1.561593,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92120,17.570692,-3.996166,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92120,21.00789,-10.940835,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92120,17.607789,8.081666,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92120,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92040,6.611111,20.939444,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92040,7.369722,12.354722,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92040,21.00789,-10.940835,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92040,17.607789,8.081666,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92040,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92007,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92009,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92024,15.454166,18.732207,,,,
